Period Name,Prescriber Code,Prescriber Name,BNF Code,BNF Name,Total Items,Total Act Cost,Total Nic
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2001,Absorbent Cottons,12,£65.71,£71.13
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1906,Acids,41,£137.78,£145.03
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1306,Acne and Rosacea,"2,828","£32,736.68","£35,466.07"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",104,Acute Diarrhoea,"3,047","£10,590.14","£11,304.41"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2310,Adhesive (Pastes/Sprays/Solutions),1,£14.97,£16.23
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2305,Adhesive Discs/Rings/Pads/Plasters,266,"£6,993.97","£7,585.11"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2136,Adhesive Dressing Remover Ster Silicone,2,£34.50,£37.39
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2315,Adhesive Removers (Sprays/Liquids/Wipes),762,"£13,236.62","£14,049.38"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",901,Anaemias + Other Blood Disorders,"18,226","£44,595.48","£47,448.73"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2128,Anal Irrigation System,82,"£10,257.91","£11,125.52"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2202,Anal Plugs,17,£844.86,£916.35
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",407,Analgesics,"125,623","£955,611.54","£1,031,549.90"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",505,Anthelmintics,334,£477.28,£502.66
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",203,Anti-Arrhythmic Drugs,"2,175","£18,179.97","£19,609.55"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1103,Anti-Infective Eye Preparations,"3,934","£8,587.49","£9,261.11"
