Period Name,Prescriber Code,Prescriber Name,BNF Code,BNF Name,Total Items,Total Act Cost,Total Nic
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2001,Absorbent Cottons,12,œ65.71,œ71.13
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1906,Acids,41,œ137.78,œ145.03
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1306,Acne and Rosacea,"2,828","œ32,736.68","œ35,466.07"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",104,Acute Diarrhoea,"3,047","œ10,590.14","œ11,304.41"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2310,Adhesive (Pastes/Sprays/Solutions),1,œ14.97,œ16.23
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2305,Adhesive Discs/Rings/Pads/Plasters,266,"œ6,993.97","œ7,585.11"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2136,Adhesive Dressing Remover Ster Silicone,2,œ34.50,œ37.39
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2315,Adhesive Removers (Sprays/Liquids/Wipes),762,"œ13,236.62","œ14,049.38"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",901,Anaemias + Other Blood Disorders,"18,226","œ44,595.48","œ47,448.73"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2128,Anal Irrigation System,82,"œ10,257.91","œ11,125.52"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",2202,Anal Plugs,17,œ844.86,œ916.35
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",407,Analgesics,"125,623","œ955,611.54","œ1,031,549.90"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",505,Anthelmintics,334,œ477.28,œ502.66
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",203,Anti-Arrhythmic Drugs,"2,175","œ18,179.97","œ19,609.55"
3rd Quarter 2012/2013,5HG00,"PCT ASHTON,LEIGH & WIGAN",1103,Anti-Infective Eye Preparations,"3,934","œ8,587.49","œ9,261.11"
